左手拉住了李左车,0,左手拉住了李左车，
sdeh-WenSanNiang-SanNiangJiaoZi.xml_1,问三娘发雷霆却是为何？,6580605.543222882,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_4,怕将（呃）来老天爷无（哇）有果报，,6584711.594607149,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,6587609.813478107,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,6593322.51533768,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,6596051.227730292,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,6608570.040473774,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,6611020.496543761,0.0
lseh-YangYanZhao-PengBei.xml_4,我本当将此事对他来论，,6627042.020392598,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,6628964.182531079,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,6630449.043059582,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,6660712.711862716,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,6667458.200675816,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,6668479.294058083,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,6681415.485713607,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,6684859.394441543,0.0
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,6689035.619907766,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,6692954.314241446,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,6696545.505188871,0.0
lsxp-WoBenShi-KongChengJi-1.xml_6,周文王访姜尚周室大振，,6710296.0734272795,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,6711703.128832469,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,6724634.63509144,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_2,我先前只望他宽宏量（呃）大，,6732444.467064018,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_2,我先前只望他宽宏量（呃）大，,6732444.467064018,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,6737676.405069084,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,6751170.922725969,0.0
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,6753473.264596949,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,6789543.258188191,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,6793759.590238848,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_7,生死二字（喏）且由他！,6817111.99452481,0.0
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,6819240.047725079,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,6832636.11979359,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,6839231.606053915,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,6863661.714587781,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,6864626.984508716,0.125
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,6868192.760872273,0.0
sdxp-SuLongWei-WuJiaPo.xml_1,苏龙魏虎为媒证，,6869916.057443076,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,6871732.121365672,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,6872618.672527658,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,6873455.092035934,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,6877273.821729194,0.0
sdxp-SuLongWei-WuJiaPo.xml_3,他三人与我有仇恨，,6888761.824599918,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,6890349.417399176,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,6898187.101140441,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,6906962.751367627,0.0
