他将我隐藏在后花园,2,他将我隐藏在后花园。
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,8446651.878546864,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,8470608.00687146,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,8482411.182410868,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,8482461.63037388,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_15,悔不该弃县今抛却了乌（哇）纱，,8484258.185036631,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,8485110.368897038,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,8487515.677556954,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,8492327.583883405,0.1111111111111111
lseh-XiRiLi-BaoLianDeng.xml_15,打死个秦官保父不能担承。,8503925.12117511,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,8507587.171069697,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,8525614.072576424,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,8527080.277390767,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,8535233.431366876,0.1111111111111111
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,8535347.72862864,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,8552567.88967446,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,8557238.084352765,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,8567881.052764205,0.2222222222222222
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,8568975.300319638,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,8577948.171175493,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,8584014.811476128,0.1111111111111111
lsxp-CiShiJian-HuaiHeYing-1.xml_3,为什么事到如今耍奸滑。,8596390.315362282,0.0
