右手再把栾布拉,0,右手再把栾布拉。
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,7891341.733572018,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,7902177.266142941,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,7924468.199504025,0.0
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,7926047.060567926,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,7928924.734118686,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,7943045.762694526,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,7946254.016783464,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,7952474.513072603,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,7999648.170827092,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,8017059.695153149,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,8021294.178439101,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,8025605.644510378,0.0
