实难舍街坊四邻与我的好朋友,0,实难舍街坊四邻与我的好朋友，
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,8247397.158417861,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,8254915.195719443,0.0
lsxp-JiangShenEr-SanJiaDian.xml_2,一不是响马与贼寇，,8288777.197768832,0.07692307692307693
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,8298119.980986425,0.07692307692307693
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,8303109.978390199,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_17,翻来覆去睡不（哇）安。,8303566.669850733,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,8309674.307065987,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,8317425.166089559,0.07692307692307693
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,8318330.274543122,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,8336796.83340196,0.07692307692307693
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,8340873.817341854,0.07692307692307693
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,8344007.225287095,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,8345386.6689849235,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,8356638.978731243,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_30,朝臣待漏（哇）五更寒，,8392089.458990902,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,8403110.475046333,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,8407487.291803194,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_10,我好（哇）比哀哀长空雁，,8426216.125102095,0.15384615384615385
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,8432943.408504536,0.07692307692307693
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,8434557.241719875,0.07692307692307693
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,8436056.353278458,0.0
