二不是歹人把城偷,0,二不是歹人（呐）把城偷。
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,6091287.756344532,0.125
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,6091562.710889416,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_4,吕伯奢可算得义气大，,6122768.41609257,0.0
lsxp-WeiCengKai-QiYuanBao.xml_5,贩卖绸缎转还乡。,6123043.539054699,0.0
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,6138789.7501911055,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,6153253.519790613,0.0
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,6156192.558083102,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,6175172.162157693,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,6177681.807772163,0.125
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,6187718.503790756,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,6202945.959782122,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,6216872.812342522,0.125
sdxp-SuLongWei-WuJiaPo.xml_11,好一个贞节王宝钏，,6219366.847325499,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,6220297.173520034,0.125
lsxp-ZouYingLong-DaYanSong.xml_13,在品级台（呀）前臣见君。,6225160.714808279,0.0
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,6230664.259331051,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,6254020.586129315,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,6254755.008268278,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,6258621.306667161,0.0
