隐情不敢实告妻,0,隐情不敢实告妻。
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,7137979.9781962978,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,7138767.0251894845,0.2857142857142857
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,7142887.1296701636,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,7185505.5861473437,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,7196836.5403623013,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,7208528.7369000632,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,7209315.6234824006,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,7215403.3475963157,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,7216393.7778900294,0.14285714285714285
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,7224543.1696842713,0.14285714285714285
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,7225885.2398170829,0.14285714285714285
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,7242788.1944824066,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,7246457.3485385235,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,7251024.8223296031,0.14285714285714285
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,7264720.6131455693,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,7283620.5425040228,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,7286352.4852157105,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,7286954.9992841203,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,7360738.3311597696,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,7364114.4668238061,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,7372040.7015969269,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,7387769.2528183758,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,7417049.5384550532,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,7433703.2861315655,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,7436508.2208352108,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,7440984.6626985371,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,7446827.8702974627,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,7468357.35712393,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,7476125.8444831613,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,7489699.360863029,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,7492226.7366037201,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,7504625.1932743015,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,7526989.068327385,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,7531335.1604828816,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,7575585.6173721617,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,7590603.9980578972,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,7593926.5025524497,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,7609481.2064441452,0.14285714285714285
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,7620376.6625406388,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,7620747.6856179778,0.0
