菩提树檐葡花千枝掩映,0,菩提树薝卜花千枝掩映，
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,9019113.171664536,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,9026756.4976958279,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,9027668.4167386498,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,9028308.8485351391,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,9043354.0043229982,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,9059783.0066351797,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,9100723.6805154644,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,9124690.4757269621,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,9143517.822933631,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,9201454.7678570058,0.1
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,9212440.1517598554,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,9216283.969944546,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,9246659.4088623449,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,9257845.3143190388,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,9264360.3535944223,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,9264421.8194872867,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,9266547.1852176599,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,9268929.460790785,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,9313953.4793108907,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,9343194.7988952715,0.1
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,9353904.664506482,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,9354901.0795536153,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,9390552.1050391328,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,9417388.5861246977,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,9424492.9402832314,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,9445801.0627398994,0.1
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,9462603.5758173205,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,9464283.2889760733,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,9468438.962133484,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,9512828.9641940445,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,9512828.9641940445,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,9527208.0828417223,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,9550494.5463737082,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,9563775.2661084346,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,9630286.894840125,0.0
