观世音满月面珠开妙相,0,观世音满月面珠开妙相，
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,8986136.6308548357,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,8995367.9677905701,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,9003241.0550698098,0.1
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,9008318.3475063313,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,9080606.4837806076,0.0
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,9083487.0387871675,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,9098207.9914388973,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,9104610.669817578,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,9111794.112309726,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,9116931.4201026,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,9134575.2536069155,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,9134785.0562486853,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,9136466.2667970322,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,9177309.6180174053,0.0
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,9189195.0839053914,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,9203158.4742982965,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,9212186.9073442314,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,9219753.125057267,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,9257144.3905094415,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,9288437.503726637,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,9297651.3536373284,0.2
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,9332800.0203878805,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,9387261.3300883379,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,9389952.334914891,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,9391563.331776442,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,9424959.7823524568,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,9440257.9996017236,0.1
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,9452474.8210137933,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,9474002.2214390598,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,9478218.0209784787,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,9488242.8917608708,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,9492609.57628447,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,9515922.1630964968,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,9545696.9609392788,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,9555170.8220091164,0.1
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,9595895.0371374264,0.1
