但愿得令公令婆别无异见,2,但愿得令公令婆别无异见，
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,10104213.81931139,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,10151250.802583784,0.18181818181818182
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,10158701.960033517,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,10161649.562640212,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,10161649.562640212,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,10163586.296995059,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,10175096.43046339,0.0
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,10179886.821272841,0.09090909090909091
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,10206301.017824514,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,10212962.359933522,0.09090909090909091
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,10232761.776271667,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,10242981.624525812,0.09090909090909091
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,10261034.150999622,0.09090909090909091
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,10269373.926591869,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,10306342.278703816,0.09090909090909091
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,10306458.288192477,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,10332782.614352219,0.09090909090909091
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,10351678.278743351,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,10369056.302831434,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,10378447.448323067,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,10397729.753627108,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,10434125.142193796,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,10440779.146359658,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,10478147.268493297,0.09090909090909091
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,10490409.85851801,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,10492271.093554536,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,10515649.19053556,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,10518537.843083547,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,10530082.333839843,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,10530117.686955485,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,10571781.196903735,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,10572944.308191771,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,10578254.765244817,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,10578749.736991674,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,10601929.976039376,0.2727272727272727
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,10626350.978297537,0.0
