叫张生隐藏在棋盘之下,13,叫张生隐藏在棋盘之下，
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,9693008.60662896,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,9713714.0144584645,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,9715957.7167891581,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,9721815.7440781984,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,9738944.1455034744,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,9781816.5193879306,0.1
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,9795823.6680998411,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,9813807.6477249432,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,9819168.7905839607,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,9821983.2833761815,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,9840269.0348947644,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,9853934.1844462268,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,9863720.8106978871,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,9878439.5965255182,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,9883817.0235476512,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,9932637.4843458906,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,9970381.7117237262,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,9974628.2929238975,0.1
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,9991534.8158896975,0.0
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,10031560.860864304,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,10050697.531969871,0.1
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,10056387.595143074,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,10077663.717391759,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,10083728.869547069,0.0
