猛听的金鼓响画角声震,0,猛听得金鼓响画角声震，
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,9648974.2711516451,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,9676581.9485370424,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,9676674.2007291615,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,9691764.0602493342,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,9697048.4452956282,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,9703150.6961502619,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,9708678.3747750781,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,9717744.3008304704,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,9758546.4380196147,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,9763562.518007949,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,9773606.218461128,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,9782012.1680477187,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,9784129.553559849,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,9786711.9081989881,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,9791633.2461911421,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,9839539.016998088,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,9842037.0185844116,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,9844618.9690004028,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,9856206.7112967502,0.0
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,9876030.014171185,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,9880244.9638920575,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,9883555.8097442463,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,9890108.4724632148,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,9890865.723320961,0.1
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,9983494.2974551991,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,9990185.092959078,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,10037340.156105461,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,10037340.156105461,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,10039541.23343882,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,10072557.705214236,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,10085450.600616559,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,10097643.504841268,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,10103196.149761613,0.0
